Charger1
Time,I[kA],P[MW],E[MWh]
2024-12-01T00:15:00,-43.80,-9.63,-30.95
2024-12-01T00:30:00,-43.80,-9.63,-30.95
2024-12-01T00:45:00,-43.80,-9.63,-30.95
2024-12-01T01:00:00,-43.80,-9.63,-30.95
2024-12-01T01:15:00,-20.89,-4.58,-25.28
2024-12-01T01:30:00,-20.89,-4.58,-25.28
2024-12-01T01:45:00,-20.89,-4.58,-25.28
2024-12-01T02:00:00,-20.89,-4.58,-25.28
2024-12-01T02:15:00,-20.89,-4.58,-25.28
2024-12-01T02:30:00,-20.89,-4.58,-25.28
2024-12-01T02:45:00,-20.89,-4.58,-25.28
2024-12-01T03:00:00,-20.89,-4.58,-25.28
2024-12-01T03:15:00,-20.89,-4.58,-25.28
2024-12-01T03:30:00,-20.89,-4.58,-25.28
2024-12-01T03:45:00,-20.89,-4.58,-25.28
2024-12-01T04:00:00,-20.89,-4.58,-25.28
2024-12-01T04:15:00,-20.89,-4.58,-25.28
2024-12-01T04:30:00,-20.89,-4.58,-25.28
2024-12-01T04:45:00,-20.89,-4.58,-25.28
2024-12-01T05:00:00,-20.89,-4.58,-25.28
2024-12-01T05:15:00,-20.89,-4.58,-25.28
2024-12-01T05:30:00,-7.94,-1.74,-11.78
2024-12-01T05:45:00,-7.94,-1.74,-11.78
2024-12-01T06:00:00,-7.94,-1.74,-11.78
2024-12-01T06:15:00,-7.94,-1.74,-11.78
2024-12-01T06:30:00,-7.94,-1.74,-11.78
2024-12-01T06:45:00,-7.94,-1.74,-11.78
2024-12-01T09:15:00,-14.91,-3.30,-5.89
2024-12-01T09:30:00,-14.91,-3.30,-5.89
2024-12-01T09:45:00,-14.91,-3.30,-5.89
2024-12-01T10:00:00,-14.91,-3.30,-5.89
2024-12-01T10:15:00,-14.91,-3.30,-5.89
2024-12-01T10:30:00,-14.91,-3.30,-5.89
2024-12-01T10:45:00,-14.91,-3.30,-5.89
2024-12-01T11:00:00,-14.91,-3.30,-5.89
2024-12-01T11:15:00,-14.91,-3.30,-5.89
2024-12-01T17:45:00,-13.53,-2.99,-0.73
2024-12-01T18:15:00,-11.76,-2.59,-3.94
2024-12-01T18:30:00,-11.76,-2.59,-3.94
2024-12-01T18:45:00,-11.76,-2.59,-3.94
2024-12-01T19:00:00,-11.76,-2.59,-3.94
2024-12-01T19:15:00,-11.76,-2.59,-3.94
2024-12-01T19:30:00,-11.76,-2.59,-3.94
2024-12-01T19:45:00,-11.76,-2.59,-3.94
2024-12-01T20:00:00,-11.76,-2.59,-3.94
2024-12-01T20:15:00,-11.76,-2.59,-3.94
2024-12-01T20:30:00,-11.76,-2.59,-3.94
2024-12-01T20:45:00,-11.76,-2.59,-3.94
2024-12-01T21:00:00,-11.76,-2.59,-3.94
2024-12-01T21:15:00,-11.98,-2.64,-4.31
2024-12-01T21:30:00,-11.98,-2.64,-4.31
2024-12-01T21:45:00,-11.98,-2.64,-4.31
2024-12-01T22:00:00,-11.98,-2.64,-4.31
2024-12-01T22:15:00,-11.98,-2.64,-4.31
2024-12-01T22:30:00,-11.98,-2.64,-4.31
2024-12-01T22:45:00,-11.98,-2.64,-4.31
2024-12-01T23:00:00,-11.98,-2.64,-4.31
2024-12-01T23:15:00,-11.98,-2.64,-4.31
2024-12-01T23:30:00,-11.98,-2.64,-4.31
2024-12-01T23:45:00,-11.98,-2.64,-4.31
2024-12-02T00:15:00,-10.57,-2.32,-10.46
2024-12-02T00:30:00,-10.57,-2.32,-10.46
2024-12-02T00:45:00,-10.57,-2.32,-10.46
2024-12-02T01:00:00,-10.57,-2.32,-10.46
2024-12-02T01:15:00,-10.57,-2.32,-10.46
2024-12-02T01:30:00,-10.57,-2.32,-10.46
2024-12-02T01:45:00,-10.57,-2.32,-10.46
2024-12-02T02:00:00,-10.57,-2.32,-10.46
2024-12-02T02:15:00,-10.57,-2.32,-10.46
2024-12-02T02:30:00,-10.57,-2.32,-10.46
2024-12-02T02:45:00,-10.57,-2.32,-10.46
2024-12-02T03:00:00,-10.57,-2.32,-10.46
2024-12-02T03:15:00,-10.57,-2.32,-10.46
2024-12-02T03:30:00,-10.57,-2.32,-10.46
2024-12-02T03:45:00,-10.57,-2.32,-10.46
2024-12-02T04:00:00,-10.57,-2.32,-10.46
2024-12-02T04:15:00,-10.57,-2.32,-10.46
2024-12-02T04:30:00,-10.57,-2.32,-10.46
2024-12-02T04:45:00,-10.57,-2.32,-10.46
2024-12-02T05:00:00,-10.57,-2.32,-10.46
2024-12-02T05:15:00,-10.57,-2.32,-10.46
2024-12-02T05:30:00,-10.57,-2.32,-10.46
2024-12-02T05:45:00,-10.57,-2.32,-10.46
2024-12-02T06:00:00,-10.57,-2.32,-10.46
2024-12-02T06:15:00,-10.57,-2.32,-10.46
2024-12-02T06:30:00,-10.57,-2.32,-10.46
2024-12-02T06:45:00,-10.57,-2.32,-10.46
2024-12-02T07:00:00,-10.57,-2.32,-10.46
2024-12-02T07:15:00,-10.57,-2.32,-10.46
2024-12-02T07:30:00,-10.57,-2.32,-10.46
2024-12-02T07:45:00,-10.57,-2.32,-10.46
2024-12-02T08:00:00,-10.57,-2.32,-10.46
2024-12-02T08:15:00,-10.57,-2.32,-10.46
2024-12-02T08:30:00,-10.57,-2.32,-10.46
2024-12-02T08:45:00,-10.57,-2.32,-10.46
2024-12-02T13:45:00,-14.37,-3.21,-10.70
2024-12-02T14:00:00,-14.37,-3.21,-10.70
2024-12-02T14:15:00,-14.37,-3.21,-10.70
2024-12-02T14:30:00,-14.37,-3.21,-10.70
2024-12-02T14:45:00,-14.37,-3.21,-10.70
2024-12-02T15:00:00,-14.37,-3.21,-10.70
2024-12-02T15:15:00,-14.37,-3.21,-10.70
2024-12-02T15:30:00,-14.37,-3.21,-10.70
2024-12-02T15:45:00,-14.37,-3.21,-10.70
2024-12-02T16:00:00,-14.37,-3.21,-10.70
2024-12-02T16:15:00,-14.37,-3.21,-10.70
2024-12-02T16:30:00,-14.37,-3.21,-10.70
2024-12-02T16:45:00,-14.37,-3.21,-10.70
2024-12-02T17:00:00,-12.79,-62.69,-3.18
2024-12-02T17:15:00,-12.79,-62.69,-3.18
2024-12-02T17:30:00,-20.80,-64.46,-4.07
2024-12-02T17:45:00,-20.80,-64.46,-4.07
2024-12-02T18:15:00,-20.79,-63.97,-11.51
2024-12-02T18:30:00,-20.79,-63.97,-11.51
2024-12-02T18:45:00,-20.79,-63.97,-11.51
2024-12-02T19:00:00,-20.79,-63.97,-11.51
2024-12-02T19:15:00,-20.79,-63.97,-11.51
2024-12-02T19:30:00,-20.79,-63.97,-11.51
2024-12-02T19:45:00,-20.79,-63.97,-11.51
2024-12-02T20:00:00,-20.79,-63.97,-11.51
2024-12-02T20:15:00,-8.03,-1.78,-5.34
2024-12-02T20:30:00,-8.03,-1.78,-5.34
2024-12-02T20:45:00,-8.03,-1.78,-5.34
2024-12-02T21:00:00,-8.03,-1.78,-5.34
2024-12-02T21:15:00,-7.84,-1.74,-4.83
2024-12-02T21:30:00,-7.84,-1.74,-4.83
2024-12-02T21:45:00,-7.84,-1.74,-4.83
2024-12-02T22:00:00,-7.84,-1.74,-4.83
2024-12-02T22:15:00,-7.84,-1.74,-4.83
2024-12-02T22:30:00,-7.84,-1.74,-4.83
2024-12-02T22:45:00,-7.84,-1.74,-4.83
2024-12-02T23:00:00,-7.84,-1.74,-4.83
2024-12-02T23:15:00,-7.84,-1.74,-4.83
2024-12-02T23:30:00,-7.84,-1.74,-4.83
2024-12-02T23:45:00,-7.84,-1.74,-4.83
2024-12-03T13:15:00,-12.69,-62.69,-2.34
2024-12-03T13:30:00,-12.69,-62.69,-2.34
2024-12-03T13:45:00,-12.69,-62.69,-2.34
2024-12-03T14:00:00,-12.69,-62.69,-2.34
2024-12-03T18:15:00,-30.81,-6.78,-20.19
2024-12-03T18:30:00,-30.81,-6.78,-20.19
2024-12-03T18:45:00,-30.81,-6.78,-20.19
2024-12-03T19:00:00,-30.81,-6.78,-20.19
2024-12-03T19:15:00,-30.81,-6.78,-20.19
2024-12-03T19:30:00,-30.81,-6.78,-20.19
2024-12-03T19:45:00,-30.81,-6.78,-20.19
2024-12-03T20:00:00,-30.81,-6.78,-20.19
2024-12-03T20:15:00,-38.83,-8.50,-21.53
2024-12-03T20:30:00,-38.83,-8.50,-21.53
2024-12-03T20:45:00,-38.83,-8.50,-21.53
2024-12-03T21:00:00,-30.81,-6.78,-20.19
2024-12-03T21:15:00,-38.91,-8.60,-25.56
2024-12-03T21:30:00,-38.91,-8.60,-25.56
2024-12-03T21:45:00,-38.91,-8.60,-25.56
2024-12-03T22:00:00,-38.91,-8.60,-25.56
2024-12-03T22:15:00,-38.91,-8.60,-25.56
2024-12-03T22:30:00,-38.91,-8.60,-25.56
2024-12-03T22:45:00,-38.91,-8.60,-25.56
2024-12-03T23:00:00,-38.91,-8.60,-25.56
2024-12-03T23:15:00,-38.91,-8.60,-25.56
2024-12-03T23:30:00,-38.91,-8.60,-25.56
2024-12-03T23:45:00,-38.91,-8.60,-25.56
2024-12-04T00:15:00,-38.73,-8.53,-35.94
2024-12-04T00:30:00,-38.73,-8.53,-35.94
2024-12-04T00:45:00,-38.73,-8.53,-35.94
2024-12-04T01:00:00,-38.73,-8.53,-35.94
2024-12-04T01:15:00,-38.73,-8.53,-35.94
2024-12-04T01:30:00,-38.73,-8.53,-35.94
2024-12-04T01:45:00,-38.73,-8.53,-35.94
2024-12-04T02:00:00,-38.73,-8.53,-35.94
2024-12-04T02:15:00,-38.73,-8.53,-35.94
2024-12-04T02:30:00,-23.42,-5.15,-28.09
2024-12-04T02:45:00,-23.42,-5.15,-28.09
2024-12-04T03:00:00,-15.55,-3.43,-23.39
2024-12-04T03:15:00,-15.55,-3.43,-23.39
2024-12-04T03:30:00,-15.55,-3.43,-23.39
2024-12-04T03:45:00,-15.55,-3.43,-23.39
2024-12-04T04:00:00,-15.55,-3.43,-23.39
2024-12-04T04:15:00,-15.55,-3.43,-23.39
2024-12-04T04:30:00,-15.55,-3.43,-23.39
2024-12-04T04:45:00,-15.55,-3.43,-23.39
2024-12-04T05:00:00,-15.55,-3.43,-23.39
2024-12-04T05:15:00,-15.55,-3.43,-23.39
2024-12-04T05:30:00,-15.55,-3.43,-23.39
2024-12-04T05:45:00,-15.55,-3.43,-23.39
2024-12-04T06:00:00,-15.55,-3.43,-23.39
2024-12-04T06:15:00,-15.55,-3.43,-23.39
2024-12-04T06:30:00,-15.55,-3.43,-23.39
2024-12-04T06:45:00,-15.55,-3.43,-23.39
